Movie_Title,average_sentiment_score,Movie_Rank,num_reviews,sentiment_score_ratio,Movie_Review_Rating
The Lord of the Rings: The Fellowship of the Ring,0.8116073682531094,9,5910,0.8142131979695432,8.9
One Flew Over the Cuckoo&apos;s Nest,0.8109719461469368,19,1248,0.8509615384615384,8.7
Inception,0.8100924035418933,14,4982,0.8149337615415496,8.8
To Be or Not to Be,0.8089898745674484,243,187,0.9037433155080213,8.1
Ah-ga-ssi,0.8070757367897583,240,379,0.8311345646437994,8.1
Catch Me If You Can,0.8065449447278156,171,1095,0.869406392694064,8.1
Hauru no ugoku shiro,0.8064226913234677,157,640,0.846875,8.2
Interstellar,0.8056223914470542,18,6795,0.8069168506254599,8.7
Monty Python and the Holy Grail,0.805095053645691,159,890,0.8617977528089887,8.2
The Prestige,0.8049003783785381,41,1882,0.8182784272051009,8.5
Good Will Hunting,0.8042034747622961,76,1197,0.8370927318295739,8.3
M - Eine Stadt sucht einen Mörder,0.8034023410319053,108,458,0.8668122270742358,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.8017629685294463,77,1154,0.8674176776429809,8.3
Mary and Max.,0.8009095160016803,204,284,0.8556338028169014,8.1
Seppuku,0.8008517386577838,40,349,0.8567335243553008,8.6
Memento,0.7994651598769491,57,2609,0.8336527405136067,8.4
Dial M for Murder,0.7994329602004795,161,455,0.8549450549450549,8.2
Before Sunset,0.7992955137133724,227,634,0.8264984227129337,8.1
Snatch,0.7989172915539425,122,981,0.8440366972477065,8.2
Hacksaw Ridge,0.7982491311324377,187,1263,0.8329374505146476,8.1
Mr. Smith Goes to Washington,0.7976337642475013,208,357,0.8543417366946778,8.1
The Treasure of the Sierra Madre,0.7966999210154542,154,348,0.8189655172413793,8.2
Der Untergang,0.7965920565392445,126,732,0.8510928961748634,8.2
Alien,0.7963332500046348,49,1956,0.8440695296523517,8.5
Eternal Sunshine of the Spotless Mind,0.794947695411342,96,2236,0.8220035778175313,8.3
Inside Out,0.7943340547266245,169,1322,0.8396369137670197,8.1
Fight Club,0.7930660615705635,13,4686,0.8211694408877508,8.8
Ran,0.7929807113756798,144,371,0.8436657681940701,8.2
The Third Man,0.792462695932714,214,579,0.8151986183074266,8.1
Jodaeiye Nader az Simin,0.7920421432235055,113,463,0.8250539956803455,8.3
The Thing,0.7899222171445909,148,1433,0.840195394277739,8.2
Braveheart,0.7889041328662927,81,1503,0.8057218895542249,8.3
The Apartment,0.7880369086218172,99,469,0.835820895522388,8.3
Gladiator,0.7861708322425163,33,3176,0.7893576826196473,8.5
